id,raw_path,artist,date,venue,city,state,collection,status,ia_identifier,ia_collection,source,notes
000309_OBrien_Scott,Dave W Flacs/000309_OBrien_Scott.flac,OBrien Scott,2000-03-09,,,,Dave Ward Collection,todo,,,,
000311_Furtado_1,Dave W Flacs/000311_Furtado_1.flac,Furtado,2000-03-11,,,,Dave Ward Collection,todo,,,,
000311_Furtado_2,Dave W Flacs/000311_Furtado_2.flac,Furtado,2000-03-11,,,,Dave Ward Collection,todo,,,,
000325_Blake_Rice__Berado,Dave W Flacs/000325_Blake_Rice_+_Berado.flac,Blake Rice + Berado,2000-03-25,,,,Dave Ward Collection,todo,,,,
000325_Guy_Darrell_Vernon,Dave W Flacs/000325_Guy_Darrell_Vernon.flac,Guy Darrell Vernon,2000-03-25,,,,Dave Ward Collection,todo,,,,
000325_OBrien_Scott,Dave W Flacs/000325_OBrien_Scott.flac,OBrien Scott,2000-03-25,,,,Dave Ward Collection,todo,,,,
000325_Rowan_and_Rice,Dave W Flacs/000325_Rowan_and_Rice.flac,Rowan and Rice,2000-03-25,,,,Dave Ward Collection,todo,,,,
jcb2000-04-01,"Dave W Flacs/000401_JCB_1.flac
Dave W Flacs/000401_JCB_2.flac",John Cowan,2000-04-01,Parrish Auditorium,Hamilton,OH,Dave Ward Collection,already_uploaded,jcb2000-04-01,JohnCowan,,multipart raw FLAC
los2000-04-05,"Dave W Flacs/000405_LOS_JC_1.flac
Dave W Flacs/000405_LOS_JC_2.flac",Leftover Salmon,2000-04-05,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2000-04-10,Dave W Flacs/000410_JCB.flac,John Cowan,2000-04-10,,,,Dave Ward Collection,todo,,,,
jcb2000-05-17,Dave W Flacs/000517_JCB.flac,John Cowan,2000-05-17,,,,Dave Ward Collection,todo,,,,
000520_Scott_1,Dave W Flacs/000520_Scott_1.flac,Scott,2000-05-20,,,,Dave Ward Collection,todo,,,,
000520_Scott_2__930724_Fleck_and_Flecktones_w_Duncan,Dave W Flacs/000520_Scott_2_+_930724_Fleck_and_Flecktones_w_Duncan.flac,Scott 2 + 930724 Fleck and Flecktones w Duncan,2000-05-20,,,,Dave Ward Collection,todo,,,,
jcb2000-06-09,"Dave W Flacs/000609_JCB_1.flac
Dave W Flacs/000609_JCB_2.flac",John Cowan,2000-06-09,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
docwatson2000-07-22.sbd,Dave W Flacs/000722_Watson.flac,Doc Watson,2000-07-22,,,,Dave Ward Collection,already_uploaded,docwatson2000-07-22.sbd,taperssection,,
jcb2000-08-11,"Dave W Flacs/000811_JCB_1.flac
Dave W Flacs/000811_JCB_2.flac",John Cowan,2000-08-11,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2000-10-07,Dave W Flacs/001007_JCB_+_010331_Jourma.flac,John Cowan,2000-10-07,,,,Dave Ward Collection,todo,,,,
001029_Cowfest,Dave W Flacs/001029_Cowfest.flac,Cowfest,2000-10-29,,,,Dave Ward Collection,todo,,,,
sci2000-11-03,Brian H Flacs/001103_SCI.flac,String Cheese Incident,2000-11-03,,,,Brian H Collection,todo,,,,
sci2000-11-10,"Brian H Flacs/001110_SCI_1.flac
Brian H Flacs/001110_SCI_2.flac",String Cheese Incident,2000-11-10,,,,Brian H Collection,todo,,,,multipart raw FLAC
sci2000-11-15,Brian H Flacs/001115_SCI.flac,String Cheese Incident,2000-11-15,,,,Brian H Collection,todo,,,,
001221_Haynes_Benefit,Dave W Flacs/001221_Haynes_Benefit.flac,Haynes Benefit,2000-12-21,,,,Dave Ward Collection,todo,,,,
jcb2001-01-25,"Dave W Flacs/010125_JCB_1.flac
Dave W Flacs/010125_JCB_2.flac",John Cowan,2001-01-25,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2001-01-26,"Dave W Flacs/010126_JCB_1.flac
Dave W Flacs/010126_JCB_2.flac",John Cowan,2001-01-26,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2001-02-19,Dave W Flacs/010219_JCB_1.flac,John Cowan,2001-02-19,,,,Dave Ward Collection,todo,,,,
sci2001-02-19,Brian H Flacs/010219_SCI.flac,String Cheese Incident,2001-02-19,,,,Brian H Collection,todo,,,,
sci2001-02-20,Brian H Flacs/010220_SCI.flac,String Cheese Incident,2001-02-20,,,,Brian H Collection,todo,,,,
sci2001-02-23,Brian H Flacs/010223_SCI.flac,String Cheese Incident,2001-02-23,,,,Brian H Collection,todo,,,,
010323_Laura_Love_Band,Dave W Flacs/010323_Laura_Love_Band.flac,Laura Love Band,2001-03-23,,,,Dave Ward Collection,todo,,,,
010323_McIver,Dave W Flacs/010323_McIver.flac,McIver,2001-03-23,,,,Dave Ward Collection,todo,,,,
jcb2001-03-23,Dave W Flacs/010323_JCB.flac,John Cowan,2001-03-23,,,,Dave Ward Collection,todo,,,,
010324_Clark,Dave W Flacs/010324_Clark.flac,Clark,2001-03-24,,,,Dave Ward Collection,todo,,,,
010324_Furtado,Dave W Flacs/010324_Furtado.flac,Furtado,2001-03-24,,,,Dave Ward Collection,todo,,,,
010324_Rowan_Trio,Dave W Flacs/010324_Rowan_Trio.flac,Rowan Trio,2001-03-24,,,,Dave Ward Collection,todo,,,,
010324_Scott_OBrien,Dave W Flacs/010324_Scott_OBrien.flac,Scott OBrien,2001-03-24,,,,Dave Ward Collection,todo,,,,
jcb2001-03-24,"Dave W Flacs/010324_JCB.flac
Dave W Flacs/010324_JCB_Brandy_House.flac",John Cowan,2001-03-24,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2001-04-06,Dave W Flacs/010406_JCB.flac,John Cowan,2001-04-06,,,,Dave Ward Collection,todo,,,,
jcb2001-04-07,"Dave W Flacs/010407_JCB_1.flac
Dave W Flacs/010407_JCB_2.flac",John Cowan,2001-04-07,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
sci2001-04-20,"Brian H Flacs Wave 2/SCI/010420_SCI_1.flac
Brian H Flacs Wave 2/SCI/010420_SCI_2.flac",String Cheese Incident,2001-04-20,,,,Brian H Collection,todo,,,,multipart raw FLAC
